"Identificador da pessoa";"Código externo da pessoa";Nome;"Nome Social";E-mail;"E-mails secundários";CPF;Canal;Telefone;"Telefones secundários";"Data de nascimento";Endereço;Número;Bairro;Cidade;CEP;Gênero;Cor/Raça;"Data de criação";"Escola de origem";Aluno;Desinscreveu;Tags
24;620205616058556802605168610671121741299913266;Nicolas;"- - -";nicolas1@ufv.br;"- - -";"- - -";"Ficha de Inscrição";+5538999797178;"- - -";"14/10/2004 00:00";"- - -";"- - -";"- - -";"- - -";"- - -";Masculino;"- - -";"30/04/2025 10:49";"- - -";"- - -";"- - -";"- - -"
22;360537225009643670324261050740301724271058136;luanteste;"- - -";gmaiL@gmail.com;"- - -";"- - -";"Ficha de Inscrição";+5532999999999;"- - -";"02/12/2002 00:00";"- - -";"- - -";"- - -";"- - -";"- - -";Masculino;"- - -";"30/04/2025 10:47";"- - -";"- - -";"- - -";"- - -"
21;"- - -";"Pedro Henrique Alves";"- - -";pedro.alves@email.com;"- - -";34532256356;CRM;+5591978901234;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
20;"- - -";"Ana Beatriz Rocha";"- - -";ana.rocha@email.com;"- - -";76322897209;CRM;+5581967890123;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
19;"- - -";"Gustavo Pereira";"- - -";gustavo.pereira@email.com;"- - -";37419693382;CRM;+5571956789012;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
18;"- - -";"Juliana Martins";"- - -";juliana.martins@email.com;"- - -";00730970639;CRM;+5561945678901;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
17;"- - -";"Rafael Cardoso";"- - -";rafael.cardoso@email.com;"- - -";39592202788;CRM;+5551934567890;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
16;"- - -";"Fernanda Lima";"- - -";fernanda.lima@email.com;"- - -";73587597103;CRM;+5541923456789;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
15;"- - -";"Mariana Souza";"- - -";mariana.souza@email.com;"- - -";97013187062;CRM;+5521998765432;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
14;"- - -";"Lucas Oliveira";"- - -";lucas.oliveira@email.com;"- - -";29493792498;CRM;+5511987654321;"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"- - -";"28/03/2025 15:11";"- - -";"- - -";"- - -";"- - -"
