Identificador, "Codigo externo do registro", Etapa   , "Data da criacao" , "Momento do ultimo ganho", "Momento da ultima perda", "Na mesma etapa desde", "Codigo - Oferta de curso", "Nome - Oferta de curso", "Identificador da pessoa", "Codigo externo da pessoa", "Nome da pessoa"                , "Nome do responsavel", Atividade    , "E-mail da pessoa"       , "E-mails secundarios", "Telefone da pessoa", "Telefones secundarios", CPF        , "Data de nascimento", "Valor da oportunidade", "Data da atividade", "Forma de ingresso", "Grau de instrucao", "Escola de origem", "Nota do ENEM", "Processo seletivo", Unidade, Modalidade, Status        , "Local da oferta", Canal      , "Resumo atual"  , Objecao, "Observacoes da perda", Endereco, Numero , Bairro , Cidade , UF     , Concorrentes, Probabilidade, "[AE] Situacao de matricula", "Area de Preferencia", "[AE] % de nota geral", "[AE] % de frequencia geral", "[AE] Satisfacao", "[AE] Qtd de lancamentos Vencidos", Matematica, "Portugues ", Literatura, Redacao, Quimica, Fisica, Biologia, Geografia, Historia, Filosofia, Sociologia, Artes, Curso
          318, "- - -"                     , "- - -" , "16/06/2025 20:02", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       360, "- - -"                   , "Yasmin Volpato"                , "- - -"              , "Sem agendar", yasvolpato@email.com     , "- - -"              , +5531994278301      , "- - -"                , 45928569025, 03/05/2006          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         82,           96,         98,      90,      89,     88,       86,        87,       99,        86,         85,    89, Biblioteconomia
          317, "- - -"                     , "- - -" , "16/06/2025 20:00", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       359, "- - -"                   , "Givanildo Para�ba"             , "- - -"              , "Sem agendar", givaparaiba@email.com    , "- - -"              , +5585999006321      , "- - -"                , 17374483007, 12/07/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           90,         89,      76,      76,     75,       79,        78,       90,        73,         80,    81, Biblioteconomia
          316, "- - -"                     , "- - -" , "16/06/2025 19:59", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       358, "- - -"                   , "Igor Rabello"                  , "- - -"              , "Sem agendar", igorrabello@email.com    , "- - -"              , +5531996503112      , "- - -"                , 48502563092, 30/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         65,           78,         80,      63,      63,     61,       59,        60,       83,        74,         73,    76, Biblioteconomia
          315, "- - -"                     , "- - -" , "16/06/2025 19:57", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       357, "- - -"                   , "Ant�nio Barros"                , "- - -"              , "Sem agendar", antoniobarr@email.com    , "- - -"              , +5521980563247      , "- - -"                , 06661888075, 13/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         70,           90,         88,      69,      71,     70,       69,        66,       89,        68,         64,    66, Biblioteconomia
          314, "- - -"                     , "- - -" , "16/06/2025 19:55", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       356, "- - -"                   , "Bernard Caldeira"              , "- - -"              , "Sem agendar", bernardcal@email.com     , "- - -"              , +5587966552240      , "- - -"                , 51824624093, 17/04/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         74,           72,         69,      71,      89,     63,       68,        87,       88,        89,         90,    91, Museologia
          313, "- - -"                     , "- - -" , "16/06/2025 19:49", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       355, "- - -"                   , "Ian Alves"                     , "- - -"              , "Sem agendar", ianalves@email.com       , "- - -"              , 78990524180         , "- - -"                , 95379029000, 11/06/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Artes                , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         72,           71,         73,      70,      85,     78,       76,        88,       89,        90,         89,    88, Dança
          312, "- - -"                     , "- - -" , "16/06/2025 19:47", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       353, "- - -"                   , "Lu�sa Carneiro"                , "- - -"              , "Sem agendar", lulucarn@email.com       , "- - -"              , +5548996528036      , "- - -"                , 82556965045, 06/11/2010          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           81,         83,      82,      94,     86,       82,        96,       98,        93,         95,    80, Museologia
          311, "- - -"                     , "- - -" , "16/06/2025 19:45", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       352, "- - -"                   , "Aline Menezes"                 , "- - -"              , "Sem agendar", alinemz@email.com        , "- - -"              , +5532990542178      , "- - -"                , 72788919069, 14/06/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         59,           58,         61,      60,      78,     70,       69,        79,       80,        81,         86,    69, Museologia
          310, "- - -"                     , "- - -" , "16/06/2025 19:41", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       351, "- - -"                   , "Bryan Nunes"                   , "- - -"              , "Sem agendar", bryann@email.com         , "- - -"              , +5532994758102      , "- - -"                , 30594025079, 01/07/2008          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         74,           69,         70,      65,      86,     78,       79,        89,       90,        91,         92,    90, Museologia
          309, "- - -"                     , "- - -" , "16/06/2025 17:17", "- - -"                  , "- - -"                  , "- - -"               , "- - -"                   , "- - -"                 ,                       349, "- - -"                   , "Rebeca Brito"                  , "- - -"              , "Sem agendar", rebecabrito@email.com    , "- - -"              , +5531992948066      , "- - -"                , 50804602026, 14/01/2009          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Humanas              , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         80,           73,         72,      71,      69,     68,       62,        59,       61,        66,         82,    65, Administração
