Identificador, "C�digo externo do registro", Etapa   , "Data da cria��o" , "Momento do �ltimo ganho", "Momento da �ltima perda", "Na mesma etapa desde", "C�digo - Oferta de curso", "Nome - Oferta de curso", "Identificador da pessoa", "C�digo externo da pessoa", "Nome da pessoa"                , "Nome do respons�vel", Atividade    , "E-mail da pessoa"       , "E-mails secund�rios", "Telefone da pessoa", "Telefones secund�rios", CPF        , "Data de nascimento", "Valor da oportunidade", "Data da atividade", "Forma de ingresso", "Grau de instru��o", "Escola de origem", "Nota do ENEM", "Processo seletivo", Unidade, Modalidade, Status        , "Local da oferta", Canal      , "Resumo atual"  , Obje��o, "Observa��es da perda", Endere�o, N�mero , Bairro , Cidade , UF     , Concorrentes, Probabilidade, "[AE] Situa��o de matr�cula", Area de Preferencia, "[AE] % de nota geral", "[AE] % de frequ�ncia geral", "[AE] Satisfa��o", "[AE] Qtd de lan�amentos Vencidos", Matematica, Portugues, Literatura, Redacao, Quimica, Fisica, Biologia, Geografia, Historia, Filosofia, Sociologia, Artes, Curso
           28, "- - -"                     , Evadidos, "03/06/2025 18:55", "- - -"                  , "- - -"                  , "04/06/2025 09:44"    , "- - -"                   , "- - -"                 ,                        46, "- - -"                   , "Jo�o Pedro Marques Albuquerque", "- - -"              , "Sem agendar", joao@email.com           , "- - -"              , 36988882222         , "- - -"                , 13135681637, 24/07/2001          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Exatas             , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         92,        78,         75,      76,      78,     90,       73,        74,       72,        73,         74,    72, Engenharia Eletrica
           27, "- - -"                     , Evadidos, "03/06/2025 17:27", "- - -"                  , "- - -"                  , "04/06/2025 09:47"    , "- - -"                   , "- - -"                 ,                        43, "- - -"                   , "Nicolas Teste"                 , "- - -"              , "Sem agendar", nicolasgrupo8@gmail.com  , "- - -"              , +5538999792122      , "- - -"                , 15262524656, 14/10/2006          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , "- - -"                     , Exatas             , "- - -"               , "- - -"                     , "- - -"          , "- - -"                           ,         95,        82,         85,      82,      82,     81,       80,        78,       82,        81,         83,    78, Engenharia da Computação
           24, "- - -"                     , Evadidos, "02/06/2025 20:13", "- - -"                  , "- - -"                  , "04/06/2025 09:52"    , "- - -"                   , "- - -"                 ,                        30, "- - -"                   , TesteAPI                        , "- - -"              , "Sem agendar", grupo8@gmail.com         , "- - -"              , +5538998997188      , "- - -"                , 15235624637, 31/12/2024          , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , "Api teste", "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Biologicas         , 80                    , 80                          , 7.8              , 1                                 ,         79,        82,         78,      82,      80,     77,       91,        78,       80,        77,         78,    80, Biologia
           19, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 10:03"    , "- - -"                   , "- - -"                 ,                        21, "- - -"                   , "Pedro Henrique Alves"          , "- - -"              , "Sem agendar", pedro.alves@email.com    , "- - -"              , +5591978901234      , "- - -"                , 34532256356, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Egresso                     , Biologicas         , 68                    , 75                          , 6.9              , 4                                 ,         78,        80,         79,      80,      80,     79,       88,        77,       78,        74,         75,    73, Medicina Veterinaria
           18, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 09:55"    , "- - -"                   , "- - -"                 ,                        20, "- - -"                   , "Ana Beatriz Rocha"             , "- - -"              , "Sem agendar", ana.rocha@email.com      , "- - -"              , +5581967890123      , "- - -"                , 76322897209, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Humanas            , 77                    , 80                          , 7.2              , 2                                 ,         75,        82,         85,      84,      75,     73,       74,        80,       84,        81,         92,    83, Sociologia
           17, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 09:59"    , "- - -"                   , "- - -"                 ,                        19, "- - -"                   , "Gustavo Pereira"               , "- - -"              , "Sem agendar", gustavo.pereira@email.com, "- - -"              , +5571956789012      , "- - -"                , 37419693382, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Saude              , 90                    , 95                          , 9.0              , 5                                 ,         78,        80,         79,      81,      80,     79,       85,        77,       78,        74,         75,    73, Odontologia
           16, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 09:17"    , "- - -"                   , "- - -"                 ,                        17, "- - -"                   , "Rafael Cardoso"                , "- - -"              , "Sem agendar", rafael.cardoso@email.com , "- - -"              , +5551934567890      , "- - -"                , 39592202788, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Exatas             , 80                    , 88                          , 8.0              , 1                                 ,         86,        75,         71,      80,      78,     81,       71,        78,       72,        71,         71,    71, Engenharia Civil
           15, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 10:06"    , "- - -"                   , "- - -"                 ,                        18, "- - -"                   , "Juliana Martins"               , "- - -"              , "Sem agendar", juliana.martins@email.com, "- - -"              , +5561945678901      , "- - -"                , 00730970639, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Evas�o                      , Saude              , 55                    , 60                          , 5.5              , 5                                 ,         78,        80,         79,      80,      80,     79,       86,        77,       78,        74,         75,    73, Enfermagem
           14, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 09:28"    , "- - -"                   , "- - -"                 ,                        16, "- - -"                   , "Fernanda Lima"                 , "- - -"              , "Sem agendar", fernanda.lima@email.com  , "- - -"              , +5541923456789      , "- - -"                , 73587597103, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Saude              , 95                    , 98                          , 9.5              , 1                                 ,         73,        80,         78,      82,      72,     72,       74,        75,       80,        85,         88,    81, Psicologia
           13, "- - -"                     , Evadidos, "28/03/2025 15:11", "- - -"                  , "- - -"                  , "04/06/2025 09:36"    , "- - -"                   , "- - -"                 ,                        15, "- - -"                   , "Mariana Souza"                 , "- - -"              , "Sem agendar", mariana.souza@email.com  , "- - -"              , +5521998765432      , "- - -"                , 97013187062, "- - -"             , "- - -"                , "- - -"            , "- - -"            , "- - -"            , "- - -"           , "- - -"       , "- - -"            , "- - -", "- - -"   , "Em andamento", "- - -"          , CRM        , "N�o contactado", "- - -", "- - -"               , "- - -" , "- - -", "- - -", "- - -", "- - -", "- - -"     , "- - -"      , Ativo                       , Saude              , 74                    , 85                          , 7.8              , 1                                 ,         90,        83,         82,      86,      80,     79,       92,        78,       80,        81,         82,    78, Medicina
